CCP,quarter,clearning service,4.1.1,4.1.2,4.1.3,4.1.4,4.1.5,4.1.6,4.1.7,4.1.8,4.1.9,4.1.10,4.4.7.PDA,4.4.7.MA,6.1.1.CLIENT,6.1.1.TOTAL,6.2.15.PRE,6.2.15.POST,18.1.1.1,18.1.1.2,18.1.2.2,19.1.1,19.1.2,23.1.2.OTC,23.1.2.ETD,23.2.1.OTC,23.2.1.ETD,year,q
LCHLTD,Q3-2016,equities,2961569,0,0,252511526,251930827,0,0,252511526,252511526,0,-103922047,-26061810,386548668,1784479054,130878430000,124033930000,24,13,2,Unknown,24,,,559606904,2626235802,2016,3
LCHLTD,Q3-2016,fixed income,7550000,0,0,742480000,741180000,0,0,742480000,742480000,0,-699150000,-404600000,0,11667240000,130878430000,124033930000,8,69,0,0,8,,,,,2016,3
LCHLTD,Q3-2016,OTC FX,5124988,0,0,435391093,435391093,0,0,435391093,435391093,0,-352065228,-151420124,0,854672520,130878430000,124033930000,8,16,0,5,8,8550291185,0,350410715878,0,2016,3
LCHLTD,Q3-2016,interest rates,57210550,0,0,5512932185,5512932185,0,0,5512932185,5512932185,0,-4021578807,-2411518763,0,89332531967,130878430000,124033930000,57,52,0,16280,48,0,0,0,0,2016,3
ICE CLEAR NETHERLANDS,Q3-2016,aggregated,1875000,0,0,50550000,56448213,0,20000000,101100000,"See ICNL Rulebook paragraph 7.6 and 7.7: 
https://www.theice.com/publicdocs/Clear_Netherlands_Rulebook.pdf",0,33717017,7640514,141681088,161588900,,,2,1,0,,1,32992818,0,431444640,0,2016,3
LCHSA,Q3-2016,cash and derivatives,12300000,-,-,1087720000,1087720000,-,-,1087720000,1087720000,-,-385250000,-164750000,0,3758330000,23800630000,23259400000,46,25,0,265,46,,,,,2016,3
LCHSA,Q3-2016,fixed income,9900000,-,-,902890000,902890000,-,-,902890000,902890000,-,-401260000,-145820000,0,15403990000,23800630000,23259400000,14,43,1,1,14,,,,,2016,3
LCHSA,Q3-2016,OTC CDS,20000000,-,-,530330000,530330000,-,-,530330000,530330000,-,-404530000,-128680000,0,945180000,23800630000,23259400000,12,0,0,0,12,3221888122,0,65197577809,0,2016,3
LCHSA,Q3-2016,€GC plus,1900000,-,-,175270000,175270000,-,-,175270000,175270000,-,-159340000,-43750000,0,530030000,23800630000,23259400000,1,9,0,,,,,,,2016,3
LCHSA,Q3-2016,equity clear,,,,,,,,,,,,,,,23800630000,23259400000,,,,,,0,,0,501356344,2016,3
LCHSA,Q3-2016,listed derivatives,,,,,,,,,,,,,,,23800630000,23259400000,,,,,,0,0,0,0,2016,3
Euro-ccp,Q3-2016,aggregated,3846685,0,0,242942916,"285194422,55",0,0,242942916,242942916,0,235220891,14954318,133556420,675612227,1067298594,1038666375,21,25,2,30,2,0,0,0,0,2016,3
CCP AUSTRIA,Q3-2016,aggregated,1875000,0,0,"23458566,22","23458566,22",0,1875000,"117292831,1","117292831,1",0,"18031293,57","12828474,6675","18822457,85","31828495,24","196332438,225797","182953807,55",8,43,0,,51,0,"200713720,793064",0,"193403295,810911",2016,3
Eurex,Q3-2016,aggregated,100000000,,,3265194953,"4230653974,71986",,600000000,,6530389906,265000000,"3414286407,02626","1876189936,46817","20501782217,9687","34456021519,9528","52630200639,205","49743960954,1115",85,153,,543,196,,,,,2016,3
KELER,Q2-2016,TEA,"1009361,79466093","15814,7773279352","1897773,27935223","9292763,15789473","9292763,15789473",0,0,0,"9292763,15789473",0,"6939303,21893978","1190446,78206452","4119987,87322875","7382747,87133097","48346257,9271242","46219528,6690283",11,12,0,,18,,,,,2016,2
KELER,Q2-2016,KGA,"409163,648152834","15814,7773279352","1897773,27935223","3757591,09311741","3757591,09311741",0,0,0,"3757591,09311741",0,"3416754,38069332","848776,751270781","10816305,7945344","16770879,4281377","48841211,6415642","47154269,2908654",8,7,0,1002,11,,,,,2016,2
KELER,Q2-2016,TP KGA,"409458,982793522","15814,7773279352","1897773,27935223","3760314,71406883","3760314,71406883",0,0,0,"3760314,71406883",0,,,0,"11037723,5387146","17575180,9929316","17561937,2785931",0,30,0,,0,,,,,2016,2
KELER,Q2-2016,CEEGEX KGA,"20921,1918016194","15814,7773279352","1897773,27935223","177125,506072875","177125,506072875",0,0,0,"177125,506072875",0,"21702,9352226721","628,727834008097",0,"247868,168016194","1545908,90439984","1540938,90435223",0,11,0,,0,,,,,2016,2
Kdpw,Q2-2016,organised market,2196319,37617236,10622743,40371287,47356775,105419,0,20185643,40265867,0,214283092,"112512479,86",104559445,109191904,233761272,232063315,11,24,0,,,0,150499681,0,399054575,2016,2
Kdpw,Q2-2016,OTC market,734377,,,13498840,13498840,62948,0,6749420,13435892,0,"78213429,3","34898152,802938",0,14187062,19995899,19995899,2,14,0,,,135182190,0,20804528649,0,2016,2
Nasdaq,Q2-2016,Financial Markets,10610980,0,14532717,187867405,229645753,51591146,25322498,141126037,141126037,0,168190417,110006711,1710795825,3134328965,3963766024,3697586146,18,28,0,4408,34,9030204845,2824728575,199461505722,7251929617,2016,2
Nasdaq,Q2-2016,Commodities,7965326,0,4614555,124200000,142350027,16381670,9557312,108000000,108000000,0,153466682,87499374,104456516,1196750811,1846218151,1816141030,13,91,0,174,145,0,177792354,0,7603620731,2016,2
Nasdaq,Q2-2016,Seafood,534312,0,2093543,4327584,6118481,7432079,3319778,3763117,3763117,0,5461379,4222915,873679,37883794,38669741,38669741,,,,2,2,0,7420740,0,315668953,2016,2
BME CLEARING,Q2-2016,financial derivatives,2000000,-,-,47450000,47450000,-,4000000,94900000,94900000,-,"222980816,82","104294708,838295","935743416,93","1647105317,46","1994128751,1283","1874157256,44725",34,0,-,60212,34,0,"2584163538,46154",0,"12265350314,3672",2016,2
BME CLEARING,Q2-2016,repo,1000000,-,-,30000000,30000000,-,2000000,60000000,60000000,-,"88422424,87","38871898,7930857",0,"1584425848,47","2233153008,88713","2197981323,55361",0,30,-,0,0,0,"2808159403,13",0,"21859660930,84",2016,2
BME CLEARING,Q2-2016,power,500000,-,-,7300000,7300000,-,1000000,14600000,14600000,-,"14042467,11","9776725,87","59822867,08","59987259,14","68157017,193462","66840641,075926",6,0,-,103,6,0,"5447416,66",0,"449320486,03",2016,2
BME CLEARING,Q2-2016,IRS,1000000,-,-,9000000,9000000,-,2000000,18000000,18000000,-,"6475475,2","1219426,23",0,"14997264,64","21611937,1898525","20917249,5161289",0,9,-,0,0,"8736861,53846154",0,1988400000,0,2016,2
BME CLEARING,Q2-2016,equity,1500000,-,-,68350000,68350000,,3000000,136700000,136700000,-,"346262310,92","136998653,54","1074959724,62",1124930626,"1558530736,7755","1545203919,56708",22,12,-,166,22,0,"3885028250,868",0,"9731228594,36",2016,2
OMI CLEAR,Q2-2016,aggregated,"1941895,15",0,0,"46405850,09","46405850,09",0,8525718,"46405850,09","For additional information regarding participants commitment to replenish the default fund, please see OMIClear Instruction B07-2014.",0,"50277377,15","32386192,27","65026279,89","96663147,52","226310309,4","226310309,4",4,10,n.a.,71,4,0,"11557099,18",0,"940939994,5928",2016,2
LCHLTD,Q2-2016,commodities,171140,0,0,13511079,13511079,0,0,13511079,13511079,0,-77544587,-21815890,82669789,85786344,128223830000,121707820000,20,0,0,Unknown,20,,,,,2016,2
LCHLTD,Q2-2016,equities,3508771,0,0,272232304,272232304,0,0,272232304,272232304,0,-108263763,-26872354,542407743,2527743496,128223830000,121707820000,25,13,2,Unknown,25,,,1477763984,4495878855,2016,2
LCHLTD,Q2-2016,fixed income,10810000,0,0,837910000,837820000,0,0,837910000,837910000,0,-601520000,-395620000,0,8582000000,128223830000,121707820000,8,69,0,0,8,,,,,2016,2
LCHLTD,Q2-2016,OTC FX,4836966,0,0,374860385,374860385,0,0,374860385,374860385,0,-228787606,-146820393,0,567276166,128223830000,121707820000,8,15,0,5,8,3919757011,0,153481744637,0,2016,2
LCHLTD,Q2-2016,interest rates,57192982,0,0,4432183908,4432159709,0,0,4432183908,4432183908,0,-3122940109,-2219649123,0,87096188747,128223830000,121707820000,53,52,0,15840,53,0,0,0,0,2016,2
ICE CLEAR NETHERLANDS,Q2-2016,aggregated,1875000,0,0,67950000,77351663,0,20000000,135900000,"See ICNL Rulebook paragraph 7.6 and 7.7: 
https://www.theice.com/publicdocs/Clear_Netherlands_Rulebook.pdf",0,52348239,11342987,157340207,171675936,367286645,367286645,2,1,0,,1,18866307,0,442789056,0,2016,2
Euro-ccp,Q2-2016,aggregated,3846685,0,0,242942916,"287184772,92",0,0,242942916,242942916,0,235220891,30313530,239794537,1047217339,1836192948,1778760605,22,25,2,30,2,0,0,0,0,2016,2
CCP AUSTRIA,Q2-2016,aggregated,1875000,0,0,"18994506,4","18994506,4",0,1875000,94972532,94972532,0,"23227329,98","15961395,1716667","24228592,17",40788880,"194043127,807101","180760110,13",8,43,0,,51,0,"219687830,951913",0,"211478642,716825",2016,2
Eurex,Q2-2016,aggregated,100000000,,,3608240387,"4360009190,22",,600000000,,7216480774,265000000,"3827019277,61","2168355681,78","22314705478,57","39048209109,25","59143708808,05","55631325441,16",85,151,,545,195,,,,,2016,2
Kdpw,Q1-2016,organised market,2152656,39195223,11068351,54036544,57795806,262911,0,27018272,53773633,0,"248554442,31","137606867,51",118277194,121941758,250426115,248106013,11,25,0,,,0,175644745,0,456438240,2016,1
Kdpw,Q1-2016,OTC market,899578,,,22581452,22581452,69324,0,11290726,22512128,0,72964084,"30508372,07",0,12566451,18241552,18241552,2,14,0,,,177872622,0,15587009111,0,2016,1
Nasdaq,Q1-2016,Financial Markets,11381743,0,15448252,231119855,266227681,53296470,26441734,180048345,180048345,0,208236062,116838062,1873761667,3444906771,3933170538,3643177592,18,29,0,6261,34,,3653629955,250483316807,7151480480,2016,1
Nasdaq,Q1-2016,Commodities,7575757,0,5624778,124200000,142166320,19405486,10759987,108000000,108000000,0,159155474,110732921,165023161,1423162534,1881557403,1860111568,13,92,0,44,26,0,141791124,0,6319921081,2016,1
Nasdaq,Q1-2016,Seafood,541934,0,597459,4275319,6258316,2061233,1056207,3717669,3717669,0,5011503,3725925,109466,25798108,34759646,34759646,,,,1,1,0,2460113,0,187381008,2016,1
OMI CLEAR,Q1-2016,aggregated,"1941895,15",0,0,"44493767,98","44493767,98",0,8525718,"44493767,98","For additional information regarding participants commitment to replenish the default fund, please see OMIClear Instruction B07-2014.",0,"47747745,23","27649761,9","55389146,32","85843757,84","217524082,94","217524082,94",5,10,n.a.,68,5,0,"12630995,4",0,"855464115,3",2016,1
LCHLTD,Q1-2016,commodities,193236,0,0,13833992,13833992,0,0,13833992,13833992,0,-75617040,-34185332,89354413,92437417,107317790000,101766350000,21,0,0,Unknown,21,,,,,2016,1
LCHLTD,Q1-2016,equities,3739498,0,0,272263280,272263280,0,0,272263280,272263280,0,-113044028,-45379320,352258227,1651797106,107317790000,101766350000,24,13,2,Unknown,24,,,1456832561,2900542042,2016,1
LCHLTD,Q1-2016,fixed income,12600000,0,0,919020000,918990000,0,0,919020000,919020000,0,-706860000,-398930000,0,9773310000,107317790000,101766350000,8,70,0,3,8,,,,,2016,1
LCHLTD,Q1-2016,OTC FX,492704,0,0,35626302,35626302,0,0,35626302,35626302,0,-10940560,-4206936,0,2021350,107317790000,101766350000,11,0,0,Unknown,11,3961317517,0,147673359678,0,2016,1
LCHLTD,Q1-2016,interest rates,3276240,0,0,238945981,238945981,0,0,238945981,238945981,0,-223390426,-145217392,0,426394378,107317790000,101766350000,8,15,0,5,8,0,0,0,0,2016,1
ICE CLEAR NETHERLANDS,Q1-2016,aggregated,1875000,0,0,99350000,120286584,0,20000000,198700000,"See ICNL Rulebook paragraph 7.6 and 7.7: 
https://www.theice.com/publicdocs/Clear_Netherlands_Rulebook.pdf",0,52348239,12947384,147949000,147949000,,,2,1,0,Not available ,1,5842329,0,379751385,0,2016,1
LCHSA,Q1-2016,cash and derivatives,9300000,0,0,766280000,766280000,0,0,766280000,766280000,0,-647640000,-260380000,0,4135020000,22231160000,21837550000,46,25,0,256,46,,,,,2016,1
LCHSA,Q1-2016,fixed income,11200000,0,0,923610000,923610000,0,0,923610000,923610000,0,-715800000,-125320000,0,18789150000,22231160000,21837550000,14,41,1,1,14,,,,,2016,1
LCHSA,Q1-2016,OTC CDS,20000000,0,0,597630000,597630000,0,0,597630000,597630000,0,-404530000,-102350000,0,943770000,22231160000,21837550000,11,0,0,0,11,0,0,0,0,2016,1
LCHSA,Q1-2016,€GC plus,1700000,0,0,138730000,138730000,0,0,138730000,138730000,0,-81160000,-17890000,0,110320000,22231160000,21837550000,1,8,0,,,,,,,2016,1
LCHSA,Q1-2016,equity clear,,,,,,,,,,,,,,,22231160000,21837550000,,,,,,0,,0,631303673,2016,1
LCHSA,Q1-2016,listed derivatives,,,,,,,,,,,,,,,22231160000,21837550000,,,,,,0,0,0,0,2016,1
Euro-ccp,Q1-2016,aggregated,3846685,0,0,242528553,"270292992,7",0,0,242528553,242528553,0,235220891,33325334,178762698,803769572,1063077923,1032831831,22,24,2,33,2,0,0,0,0,2016,1
CCP AUSTRIA,Q1-2016,aggregated,1875000,0,0,"17814642,27","17814642,27",0,1875000,"89073211,35","89073211,35",0,"23227329,98","13243102,0216667","14059968,69","25476280,43","178047430,065797","165167004,31",9,43,0,,52,0,"260635519,688898",0,"225877286,322541",2016,1
Eurex,Q1-2016,aggregated,50000000,,,3706328983,"4338012805,44",,700000000,,7412657966,265000000,"3827019277,61","2495777393,5","20652766422,7","37436486079,47","57744238249,52","54191325565,14",81,149,,526,193,,,,,2016,1
Nasdaq,Q4-2015,Financial Markets,11426084,0,396388,232564339,252589977,1327902,4339623,180749768,180749768,0,209047298,131486054,1346574094,2454913851,3237319348,3064795588,,,,3994,33,11128035152,3358812820,255195805797,6546618044,2015,4
Nasdaq,Q4-2015,Commodities,7641921,0,19486595,124200000,149950025,65280095,30494841,108000000,108000000,0,159155474,120958217,27987156,1142293307,2967603356,2859952416,,,,37,23,0,169638969,0,6869676564,2015,4
Nasdaq,Q4-2015,Seafood,542365,0,1937347,4071644,6071121,6490112,2960042,3540560,3540560,0,5111760,3452346,0,22477195,28979414,28979414,,,,0,0,0,1593345,0,164552650,2015,4
Euro-ccp,Q4-2015,aggregated,2769512,0,0,244073947,"262380673,59",0,0,244073947,244073947,0,235220891,37541836,83881525,294857289,802068450,773035212,22,23,2,33,2,0,0,0,0,2015,4
Eurex,Q4-2015,aggregated,50000000,,,3809168471,"4361769277,97279",,700000000,,7618336942,265000000,"3827019277,61",2679489814,"25036172858,43","43091677165,47","60486664577,06","56550412553,27",78,143,,526,186,,,,,2015,4
